Zip Code,Median Household income 
2465,171597
2466,137321
2467,148281
2468,209783
2472,110780
2474,130378
2476,137393
2478,141034
2481,215291
2482,193385
2492,175820
2493,235766
2494,154962
2532,88199
2534,86938
2535,105893
2536,81640
2537,100793
2538,77368
2539,82422
2540,103722
2542,43571
2543,90968
2553,-
2554,110060
2556,99634
2557,96714
2558,77037
2559,85750
2561,-
2562,84821
2563,99511
2564,-
2568,56964
2571,65685
2575,92522
2576,104018
2584,-
2601,60000
2630,97583
2631,82612
2632,84607
2633,88873
2635,88813
2637,141250
2638,82083
2639,67215
2641,237550
2642,73239
2643,-
2644,94925
2645,90319
2646,74348
2647,-
2648,98264
2649,86719
2650,71223
2651,-
2652,61176
2653,84026
2655,89219
2657,58750
2659,93611
2660,81576
2663,60568
2664,62864
2666,66014
2667,64444
2668,96660
2669,104097
2670,83529
2671,82222
2672,214423
2673,75673
2675,78687
2702,105475
2703,86361
2713,-
2715,101818
2717,94250
2718,91267
2719,80231
2720,55838
2721,42070
2723,39011
2724,44766
2725,80234
2726,82429
2738,102344
2739,99182
2740,48481
2743,84432
2744,45186
2745,64288
2746,28927
2747,83849
2748,80451
2760,103096
2762,108835
2763,145625
2764,91595
2766,109437
2767,99803
2769,99776
2770,108636
2771,94038
2777,91344
2779,107941
2780,67574
2790,89205
2791,100880
2802,49229
2804,79018
2806,137115
2807,86458
2808,75286
2809,82276
2812,119559
2813,86250
2814,99362
2815,209773
2816,85895
2817,93548
2818,122850
2822,102898
2825,87206
2826,-
2827,96600
2828,93750
2830,79732
2831,95739
2832,89127
2833,89076
2835,110056
2836,-
2837,110069
2838,59435
2839,71346
2840,81687
2841,-
2842,80111
2852,96205
2857,106667
2858,124130
2859,75880
2860,44546
2861,62667
2863,31311
2864,94212
2865,92307
2871,104792
2872,118177
2873,-
2874,140000
2875,151500
2876,-
2878,83056
2879,95743
2881,137893
2882,110799
2885,72143
2886,91814
2888,79338
2889,81521
2891,74257
2892,97868
2893,68387
2894,99167
2895,47682
2896,99423
2898,83235
2903,55474
2904,58359
2905,46489
2906,119708
2907,34964
2908,50709
2909,37228
2910,70708
2911,76250
2912,-
2914,54984
2915,70135
2916,89216
2917,87396
2919,87326
2920,69664
2921,115529
3031,129286
3032,111121
3033,119601
3034,98355
3036,123266
3037,91250
3038,82138
3042,86078
3043,96442
3044,100750
3045,88283
3046,94213
3047,75441
3048,75729
3049,135543
3051,96394
3052,105240
3053,109754
3054,103998
3055,84169
3057,102083
3060,59783
3062,102513
3063,88289
3064,81433
3070,110764
3071,95417
3076,108297
3077,75517
3079,99435
