Zip Code,Median Household income
2462,115556
2464,122098
2465,157563
2466,121037
2467,132399
2468,241190
2472,101397
2474,112150
2476,102214
2478,129309
2481,223917
2482,168361
2492,168542
2493,207702
2494,133375
2532,70068
2534,92824
2535,96061
2536,72489
2537,109707
2538,69327
2539,78902
2540,78603
2542,53031
2543,99444
2553,-
2554,107683
2556,96645
2557,75294
2558,45326
2559,73491
2561,86422
2562,103306
2563,93306
2564,112647
2568,51456
2571,63805
2575,95351
2576,80473
2584,-
2601,54414
2630,115129
2631,75286
2632,86356
2633,83625
2635,68590
2637,188021
2638,83632
2639,52719
2641,62888
2642,71981
2643,-
2644,98182
2645,78689
2646,67773
2647,77344
2648,87060
2649,77019
2650,91174
2651,-
2652,70921
2653,73819
2655,83750
2657,59063
2659,70694
2660,61694
2663,64464
2664,60432
2666,67526
2667,75096
2668,100379
2669,-
2670,65486
2671,75417
2672,76417
2673,63980
2675,74654
2702,95927
2703,74962
2713,-
2715,101216
2717,85139
2718,93184
2719,67394
2720,51790
2721,40173
2723,40318
2724,39942
2725,87458
2726,83346
2738,81928
2739,94360
2740,42314
2743,80221
2744,44252
2745,61267
2746,35018
2747,82963
2748,87326
2760,90558
2762,96066
2763,126339
2764,79725
2766,111042
2767,101826
2769,116585
2770,103459
2771,90078
2777,86637
2779,103182
2780,58546
2790,80430
2791,68913
2802,69321
2804,108672
2806,125125
2807,59423
2808,74500
2809,72422
2812,113221
2813,78209
2814,89531
2815,194450
2816,72471
2817,119688
2818,102621
2822,83024
2825,87829
2826,91964
2827,82946
2828,86772
2830,84970
2831,95000
2832,80128
2833,88902
2835,111110
2836,-
2837,89353
2838,62697
2839,68258
2840,66805
2841,-
2842,74022
2852,86625
2857,96004
2858,-
2859,87363
2860,43586
2861,64833
2863,32928
2864,91806
2865,92742
2871,102392
2872,-
2873,108750
2874,135514
2875,160278
2876,-
2878,75295
2879,89288
2881,79111
2882,83600
2885,60486
2886,69646
2888,75011
2889,77783
2891,70358
2892,111895
2893,55106
2894,70587
2895,42595
2896,80885
2898,77917
2903,36347
2904,44269
2905,47942
2906,85270
2907,39877
2908,51981
2909,42041
2910,73717
2911,60902
2912,-
2914,51199
2915,64495
2916,80701
2917,83516
2919,65125
2920,63523
2921,102917
3031,139421
3032,115089
3033,141875
3034,100904
3036,139688
3037,108173
3038,75792
3042,76071
3043,99688
3044,110344
3045,90173
3046,121500
3047,79107
3048,79600
3049,135565
3051,104472
3052,112500
3053,109254
3054,106957
3055,79235
3057,118750
3060,51979
3062,94935
3063,88188
3064,68333
3070,120300
3071,81029
3076,106686
3077,76133
3079,86587
3082,92986
3084,84583
3086,80226
3087,148459
3101,32607
3102,57461
3103,58115
3104,64909
3106,84691
3109,80253
3110,135021
3215,105000
3216,76618
3217,46184
3218,59417
3220,71541
3221,66528
3222,64167
3223,60625
3224,85625
3225,75536
3226,76528
3227,82875
3229,88854
3230,63083
3231,81667
3233,-
3234,78622
3235,52860
3237,76450
3238,-
3240,61429
3241,66250
3242,79867
3243,80292
3244,80174
3245,62589
3246,57771
3249,84500
3251,52857
3253,63359
3254,71429
3255,101528
3256,68438
3257,91471
3258,95114
3259,56944
3260,101875
3261,90605
3262,57463
3263,55594
3264,54856
3266,54904
3268,83594
3269,89097
3273,108750
3275,75420
3276,56685
3278,75938
3279,48750
3280,78224
3281,94181
3282,67292
3284,76932
3285,67277
3287,85000
3290,97216
3291,-
3293,-
3301,65663
3303,74000
3304,122034
3307,72311
3431,56872
3440,76500
3441,34028
3442,60000
3443,71206
3444,83958
3445,72375
3446,71522
3447,62500
3448,70417
3449,69297
3450,76806
3451,63669
3452,63739
3455,71136
3456,65893
3457,82500
3458,85000
3461,81737
3462,111750
3464,75455
3465,58021
3466,92472
3467,89583
3470,54097
3561,40259
3570,39130
3574,55556
3575,-
3576,43814
3579,50250
3580,74375
3581,59290
3582,45492
3583,55625
3584,55167
3585,58696
3586,87857
3588,60000
3590,37500
3592,44611
3593,84000
3595,63229
3597,32917
3598,50938
3601,70938
3602,63304
3603,49700
3604,158269
3605,70625
3607,64643
3608,71207
3609,110250
3740,69196
3741,75659
3743,48283
3745,81012
3746,104167
3748,88041
3750,162083
3751,-
3752,59583
3753,106094
3754,-
3755,123250
3765,66055
3766,70268
3768,112625
3770,97500
3771,70000
3773,58760
3774,50018
3777,73636
3779,82083
3780,55729
3781,81875
3782,86445
3784,56921
3785,46442
3801,85000
3809,79653
3810,94018
3811,118712
3812,43319
3813,64069
3814,43947
3816,62411
3817,-
3818,52051
3819,91694
3820,71556
3823,126667
3824,81995
3825,97014
3826,74500
3827,102181
3830,56835
3832,67031
3833,88498
3835,70257
3836,70096
3837,65577
3838,59541
3839,71053
3840,115417
3841,89595
3842,85585
3844,134425
3845,58594
3846,66161
3847,81658
3848,94473
3849,72560
3850,100221
3851,71308
3852,56750
3853,58438
3854,136000
3855,81250
3856,154375
3857,73734
3858,107319
3860,61157
3861,100170
3862,95694
3864,47464
3865,86659
3867,64340
3868,56599
3869,74896
3870,122602
3871,-
3872,83597
3873,113750
3874,73046
3875,85179
3878,66737
3882,70000
3883,65945
3884,94321
3885,109817
3886,42075
3887,73750
3890,61211
3894,60898
3901,75164
3902,86563
3903,79835
3904,77036
3905,85759
3906,68641
3907,60500
3908,88262
3909,94771
3910,75250
3911,-
4001,54837
4002,65731
4003,87708
4005,55034
4006,46786
4008,71875
4009,57594
4010,47581
4011,59922
4015,61484
4017,68333
4019,-
4020,50074
4021,106190
4022,62734
4024,63906
4027,64896
4029,57902
4030,67880
4032,86128
4037,56676
4038,84767
4039,77093
4040,52500
4041,48846
4042,65000
4043,75517
4046,76998
4047,58182
4048,55343
4049,66273
4050,80556
4051,53750
4055,67640
4056,74792
4057,-
4061,71857
4062,78698
4063,34545
4064,58950
4066,77969
4068,40859
4069,88250
4071,79297
4072,70517
4073,50267
4074,97612
4076,72955
4079,81970
4083,62135
4084,72170
4085,90804
4086,74968
4087,61722
4088,52237
4090,66578
4091,54773
4092,59460
4093,71583
4095,54167
4096,89984
4097,113994
4101,45417
4102,62256
4103,69651
4105,120299
4106,68665
4107,123014
4108,81923
4109,65417
4110,191250
4210,49719
4216,45694
4217,46711
4219,51691
4220,57072
4221,49423
4222,78995
4224,36732
4226,44250
4227,34028
4228,-
4231,40893
4234,-
4236,71563
4237,75625
4238,62353
4239,59432
4240,44523
4250,55330
4252,59949
4253,65491
4254,30789
4255,61705
4256,56264
4257,44191
4258,79107
4259,58860
4260,74769
4261,53750
4263,57721
4265,65455
4267,59250
4268,49837
4270,50871
4271,-
4274,70760
4275,39688
4276,41609
4280,71725
4281,49886
4282,66908
4284,60859
4285,44625
4286,-
4287,58417
4289,46196
4290,57813
4292,52188
4294,52028
4330,49809
4342,69625
4343,-
4344,-
4345,55023
4346,50286
4347,57635
4348,61091
4349,68125
4350,71906
4351,76550
4352,60938
4353,49850
4354,66167
4355,81042
4357,53333
4358,64185
4359,-
4360,60069
4363,59042
4364,71321
4401,52700
4406,48438
4408,62292
4410,49702
4411,64130
4412,52174
4413,47292
4414,41522
4415,35729
4416,46250
4417,33281
4418,40938
4419,78309
4421,62292
4422,53333
4424,35741
4426,39554
4427,49803
4428,59757
4429,62770
4430,41838
4431,-
4434,58000
4435,45473
4438,47000
4441,53698
4442,-
4443,39596
4444,80286
4448,40288
4449,54519
4450,58958
4451,33750
4453,31932
4454,18500
4455,39000
4456,63152
4457,37358
